nom_cit,original_name,order,family,genus,grp2_np
Amphibiens Grenouille,Anura,Anura,NA,NA,Amphibiens
Sciurus vulgaris,Sciurus vulgaris,Rodentia,Sciuridae,Sciurus,Mammifères
Leporides Lapin,Oryctolagus cuniculus,Lagomorpha,Leporidae,Oryctolagus,Mammifères
Erinaceides Herisson,Erinaceus europaeus,Eulipotyphla,Erinaceidae,Erinaceus,Mammifères
Sus scrofa,Sus scrofa,Cetartiodactyla,Suidae,Sus,Mammifères
Columbidae,Columbidae,Columbiformes,Columbidae,NA,Oiseaux
Aves,Aves,NA,NA,NA,Oiseaux
genette,Genetta genetta,Carnivora,Viverridae,Genetta,Mammifères
Canides Renard,Vulpes vulpes,Carnivora,Canidae,Vulpes,Mammifères
Martes,Martes,Carnivora,Mustelidae,Martes,Mammifères
Capreolus capreolus,Capreolus capreolus,Cetartiodactyla,Cervidae,Capreolus,Mammifères
Chordata,Chordata,NA,NA,NA,Autres
Rongeurs Ragondin,Myocastor coypus,Rodentia,Echimyidae,Myocastor,Mammifères
Meles meles,Meles meles,Carnivora,Mustelidae,Meles,Mammifères
Mustelides Fouine,Martes foina,Carnivora,Mustelidae,Martes,Mammifères
Lepus,Lepus,Lagomorpha,Leporidae,Lepus,Mammifères
Phasianus colchicus,Phasianus colchicus,Galliformes,Phasianidae,Phasianus,Oiseaux
Buteo buteo,Buteo buteo,Accipitriformes,Accipitridae,Buteo,Oiseaux
Rapaces nocturnes Chouette effraie,Tyto alba,Strigiformes,Tytonidae,Tyto,Oiseaux
Felis silvestris,Felis silvestris,Carnivora,Felidae,Felis,Mammifères
Autres oiseaux Merle,Turdus merula,Passeriformes,Turdidae,Turdus,Oiseaux
Rapaces nocturnes Chouette indeterminee,Strigidae,Strigiformes,Strigidae,NA,Oiseaux
Mustela putorius,Mustela putorius,Carnivora,Mustelidae,Mustela,Mammifères
Rapaces nocturnes Chouette effraie,Tyto,Strigiformes,Tytonidae,Tyto,Oiseaux
Strigiformes,Strigiformes,Strigiformes,NA,NA,Oiseaux
Amphibiens Indetermine,Amphibia,NA,NA,NA,Amphibiens
Reptiles Indetermine,Squamata,Squamata,NA,NA,Reptiles
Reptiles Couleuvre,Colubridae,Squamata,Colubridae,NA,Reptiles
Rodentia,Rodentia,Rodentia,NA,NA,Mammifères
Rapaces nocturnes Faucon crecerelle,Falco tinnunculus,Falconiformes,Falconidae,Falco,Oiseaux
Rapaces nocturnes Chouette hulotte,Strix aluco,Strigiformes,Strigidae,Strix,Oiseaux
Autres oiseaux Grive,Turdidae,Passeriformes,Turdidae,NA,Oiseaux
Corvus,Corvus,Passeriformes,Corvidae,Corvus,Oiseaux
Autres oiseaux Pigeon ramier,Columba palumbus,Columbiformes,Columbidae,Columba,Oiseaux
Passeriformes,Passeriformes,Passeriformes,NA,NA,Oiseaux
Anatidae,Anatidae,Anseriformes,Anatidae,NA,Oiseaux
Amphibiens Salamandre tachetee,Salamandra salamandra,Urodela,Salamandridae,Salamandra,Amphibiens
Castor fiber,Castor fiber,Rodentia,Castoridae,Castor,Mammifères
vipere,Vipera,Squamata,Viperidae,Vipera,Reptiles
Reptiles Couleuvre d'Esculape,Zamenis longissimus,Squamata,Colubridae,Zamenis,Reptiles
Mustelides Martre,Martes martes,Carnivora,Mustelidae,Martes,Mammifères
Pica pica,Pica pica,Passeriformes,Corvidae,Pica,Oiseaux
Mustelidae,Mustelidae,Carnivora,Mustelidae,NA,Mammifères
Rongeurs Rat indetermine,Muridae,Rodentia,Muridae,NA,Mammifères
Rapaces diurnes Faucon indetermine,Falco,Falconiformes,Falconidae,Falco,Oiseaux
Autres oiseaux Gallinule poule-d'eau,Gallinula chloropus,Gruiformes,Rallidae,Gallinula,Oiseaux
Lutra lutra,Lutra lutra,Carnivora,Mustelidae,Lutra,Mammifères
Garrulus glandarius,Garrulus glandarius,Passeriformes,Corvidae,Garrulus,Oiseaux
Cervides Cerf elaphe,Cervus elaphus,Cetartiodactyla,Cervidae,Cervus,Mammifères
renard,Vulpes vulpes vulpes,Carnivora,Canidae,Vulpes,Mammifères
