database,trait_category,original_trait_name,original_units,final_trait_name,final_trait_units,na_values,notes
amniota,body_size,adult_svl_cm,cm,mean_snout_vent_length,mm,,
amphi_lifehist,body_size,Adult snout-to-vent length,mm,mean_snout_vent_length,mm,DD,
amphi_lifehist,body_size,Adult total length,mm,mean_body_length,mm,DD,
amphibio,body_size,Body_size_mm,mm,max_body_length,mm,,
an_age,body_size,,,,mm,,
arthropods,body_size,Body_Size,mm,mean_body_length,mm,,
atlantic_birds,body_size,Body_length.mm.,mm,mean_body_length,mm,,
australian_birds,body_size,X96_Body_length_8,mm,mean_body_length,mm,NAV,
AvianBodySize,body_size,Unsexed_tarsus,cm,mean_tarsus_length,mm,-999,
AvianBodySize,body_size,F_tarsus,cm,mean_female_tarsus_length,mm,-999,
AvianBodySize,body_size,M_tarsus,cm,mean_male_tarsus_length,mm,-999,
avonet,body_size,Tarsus.Length,cm,mean_tarsus_length,mm,,
bird_behav,body_size,,,,mm,,
carabids,body_size,body_length,mm,mean_body_length,mm,,
climber,body_size,,,,mm,,
elton_birds,body_size,,,,mm,,
elton_mammals,body_size,,,,mm,,
eubirds,body_size,TarsusU_MEAN,cm,mean_tarsus_length,mm,,
eubirds,body_size,LengthU_MEAN,cm,mean_tarsus_length,mm,,
fishmorph,body_size,MBl,mm,max_body_length,mm,,
globalHWI,body_size,,,,mm,,
globTherm,body_size,,,,mm,,
heteroptera,body_size,Body_length,mm,mean_body_length,mm,,
lizard_traits,body_size,maximum SVL,mm,max_snout_vent_length,mm,,
mammal_diet2,body_size,,,,mm,,
marsupials,body_size,,,,mm,,
migbehav_birds,body_size,,,,mm,,
pantheria,body_size,,,,mm,,
passerines,body_size,Tarsus,cm,mean_tarsus_length,mm,,
reptile_lifehist,body_size,,,,mm,,
tetra_density,body_size,,,,mm,
